Doctor ID,Doctor Name,Gender,Specialty,Department ID,Years Of Experience,Hospital Affiliation,Clinic Name,Phone Number,Email,License Number,Is Active
89949,Linda Moore,Male,Pediatrics,3,16,"Delgado, Oneal and Juarez",Parsons Ltd,027.569.6316x99320,timothy13@cannon-gomez.com,LIC-100000,Yes
22993,Elizabeth Edwards,Female,Cardiology,2,17,Page LLC,Wheeler-Buck,690-649-4002x43829,jennifercarson@hotmail.com,LIC-100001,Yes
83438,Crystal Taylor,Female,Pediatrics,3,21,"Griffith, Maldonado and Todd",Stout-Kirk,+1-695-223-4700x1810,ramostara@cummings.biz,LIC-100002,Yes
44122,Terry Armstrong,Male,Neurology,5,5,Cobb Ltd,Zamora-Lewis,556-927-3797,donna74@gmail.com,LIC-100003,Yes
27436,Ivan Dunn,Male,Orthopedics,4,26,Rios-Johnson,"Wood, Scott and James",5607474869,ibutler@hotmail.com,LIC-100004,Yes
80119,Rebecca Foster,Male,Neurology,5,30,"Thomas, Edwards and York",Morrow PLC,738.903.1015,jenkinsrachael@hotmail.com,LIC-100005,Yes
23724,Christine Adams,Male,General Medicine,1,36,Diaz-Perez,Roberts-Johnson,(732)616-7109,jacobturner@pierce.com,LIC-100006,Yes
37222,Leslie Davidson,Female,Pediatrics,3,18,"Osborne, Wells and Cortez","Sparks, Odonnell and Smith",(252)818-5104x908,alecgalvan@hotmail.com,LIC-100007,Yes
15696,Travis Craig,Female,Pediatrics,3,37,Carrillo Ltd,Gray Group,387-982-8195x51502,palmerjustin@yahoo.com,LIC-100008,Yes
35539,Angela Castaneda,Female,Pediatrics,3,25,"Sexton, Johnson and Diaz",Thornton PLC,910.026.1498x3376,hbishop@silva.com,LIC-100009,Yes
44503,Joseph West,Male,Orthopedics,4,29,White-Allen,Robinson Group,607.730.4674x57366,vdelgado@hotmail.com,LIC-100010,Yes
32121,Robin Davila,Female,Orthopedics,4,19,Johnston Inc,"Smith, Shaw and Gardner",900.516.0035,ericrodriguez@forbes-soto.com,LIC-100011,Yes
81825,Michael Campbell,Female,Orthopedics,4,30,"Hughes, Johnson and Jones","Black, Sloan and Wood",+1-280-577-9340x8928,sophia65@yahoo.com,LIC-100012,Yes
10550,Tammy Potter,Male,Pediatrics,3,31,"Gordon, Bailey and Williams",Williams Inc,6285937462,curtismorales@yahoo.com,LIC-100013,Yes
92015,William Luna,Male,Neurology,5,36,Lara Ltd,Mendez-Stanley,522-149-6054,tiffanyburns@gmail.com,LIC-100014,Yes
26192,Jason Vasquez,Male,Cardiology,2,16,Hoffman-Hammond,"Clark, Evans and Morales",4748162343,isabelcarter@hotmail.com,LIC-100015,Yes
85565,Ashley Gilbert,Male,Pediatrics,3,23,"Higgins, Harmon and Burke",Wilson Ltd,(505)350-7402x071,scottanita@hotmail.com,LIC-100016,Yes
81765,Matthew Smith,Male,General Medicine,1,2,"Harris, Vang and Avila",Allen-Simmons,779.501.5967x406,johnstonmaria@hotmail.com,LIC-100017,Yes
4674,Diane Meadows,Male,Neurology,5,27,"Nelson, Owens and Kim",Matthews-Robinson,686.895.1153,hholland@gmail.com,LIC-100018,Yes
74052,Jennifer Estrada,Male,Orthopedics,4,38,"Bell, Perry and Torres","Ali, Solomon and Wilson",927-623-5218x2214,sydneywilkins@gmail.com,LIC-100019,Yes
82991,Daniel Wilson,Female,Pediatrics,3,27,"Williams, Davis and Stevenson","Hall, Burns and Higgins",001-421-360-3095x889,kimberly44@hotmail.com,LIC-100020,Yes
24721,Matthew Harris,Male,Orthopedics,4,17,"Moore, Pacheco and Alvarez",Williams-Johnson,5386833636,rachel83@gmail.com,LIC-100021,Yes
90054,Justin Dominguez,Male,General Medicine,1,33,Jones-Nolan,Rodriguez Inc,901.999.8207,tammybass@duffy-johnson.com,LIC-100022,Yes
68006,Luis Lee,Male,Pediatrics,3,21,"Wolfe, Salazar and Willis",Freeman-Wagner,+1-089-831-7399x1424,thompsondevin@hotmail.com,LIC-100023,Yes
11283,Kevin Franklin,Male,Orthopedics,4,38,"Grimes, Mckenzie and White",Dominguez-Edwards,874-066-7345x197,johnny90@hart.info,LIC-100024,Yes
97470,Mark Anderson,Female,Neurology,5,10,"Washington, Rios and Crosby",Williams and Sons,8327133198,zmyers@hotmail.com,LIC-100025,Yes
97490,Carol Smith,Male,Cardiology,2,27,"Russell, Randall and Wilson","Burke, Smith and Dixon",3136524925,tara31@garcia.com,LIC-100026,Yes
77232,Wendy Dunn,Male,Orthopedics,4,2,Rasmussen and Sons,"Thornton, White and Hart",417.898.1233x35541,mmiller@aguirre-berger.biz,LIC-100027,Yes
40618,Erica Conner PhD,Male,General Medicine,1,23,Guerrero Inc,Fernandez-Richard,495-018-1082x5850,jimenezsusan@yahoo.com,LIC-100028,Yes
45880,Raymond Copeland,Male,Orthopedics,4,6,Hunt Group,Clark Inc,288.692.4554x34158,hansonmichael@hotmail.com,LIC-100029,Yes
38988,Mark Elliott,Female,Orthopedics,4,18,Sanchez LLC,Walker-Smith,+1-714-081-8990x746,mwalker@robinson-erickson.com,LIC-100030,Yes
8617,Matthew Davis,Male,Cardiology,2,30,Hernandez Inc,Townsend Group,+1-519-808-3770x46283,sherrirodriguez@yahoo.com,LIC-100031,Yes
63597,Ashley Alexander,Male,General Medicine,1,5,"Johnson, Turner and Ewing","Flores, Cruz and Garcia",413-003-9640x71987,rodriguezemily@cooper.com,LIC-100032,Yes
62787,Stacy Jenkins,Female,Cardiology,2,12,Hudson-Cruz,Gibson-Stone,2614746314,ryan77@miller-brooks.biz,LIC-100033,Yes
47896,Eric Quinn,Female,Cardiology,2,8,Le-Smith,Weber Inc,683-882-5238x7907,tristanwilliams@jones-vance.com,LIC-100034,Yes
58500,Deborah Robinson,Female,General Medicine,1,2,"Smith, Martin and Quinn","Combs, Mcgee and Olson",166-102-6391x25173,james22@johnson-conner.info,LIC-100035,Yes
29452,Pamela Knapp,Male,Cardiology,2,27,Perez and Sons,Ramirez-Parrish,+1-657-692-5136x071,brownsara@hunter.biz,LIC-100036,Yes
20643,Jacob Adams,Male,General Medicine,1,24,"Hernandez, Henry and Taylor","Lewis, Berry and Miller",+1-568-146-2951,david49@wright-wood.com,LIC-100037,Yes
95996,Samantha Mullins,Female,Cardiology,2,37,"Reese, Gonzales and Mccarty","Burton, Oconnor and Burns",127.344.8791x7668,williamsaaron@yahoo.com,LIC-100038,Yes
40316,Stacy Lester,Male,Orthopedics,4,22,Li Ltd,Stevenson Group,+1-428-895-8177,ctucker@yahoo.com,LIC-100039,Yes
29512,Brittany Diaz,Male,General Medicine,1,11,Wade-Vasquez,Johnson Ltd,+1-712-869-3901,melissa96@long.org,LIC-100040,Yes
26885,Albert Rosario,Male,General Medicine,1,5,Knight-Massey,"Moore, Fox and Mcfarland",051-094-9995,zrivera@gmail.com,LIC-100041,Yes
90331,Mandy Willis,Male,Neurology,5,27,Ross PLC,Davis Ltd,490-900-0783x439,mary58@ali.info,LIC-100042,Yes
57469,Andrew Garcia,Female,Orthopedics,4,35,"Black, Delgado and Daniels","Mckinney, Hayden and Mills",(343)213-4739,zboyer@hotmail.com,LIC-100043,Yes
1107,Christian Lozano,Male,Cardiology,2,32,"Hurst, Lucero and Ball",Jones-Shaffer,541-893-6955x59739,xibarra@hotmail.com,LIC-100044,Yes
72762,Benjamin Brown,Female,General Medicine,1,18,"Thompson, Adams and Thompson",Bennett Inc,+1-970-462-0885x1957,harrisbrandon@yahoo.com,LIC-100045,Yes
93881,James Bell,Male,Neurology,5,10,"Snow, Patel and Adams","Dickerson, Moreno and Stevenson",(424)846-3769x7562,williamsjames@gmail.com,LIC-100046,Yes
90508,Spencer Garcia,Male,Orthopedics,4,34,"Ford, Buckley and Martinez",Garza-Meza,3597998562,rlambert@rojas.info,LIC-100047,Yes
40753,Joshua Yang,Male,Orthopedics,4,27,Meyer PLC,Smith LLC,001-468-200-2433x091,lewisthomas@williams.com,LIC-100048,Yes
41384,Rebecca Malone,Male,Cardiology,2,31,Wade and Sons,Allen Ltd,(755)111-8026,danielsdonald@bell.com,LIC-100049,Yes
25486,Jane Clayton,Female,Neurology,5,31,"Kim, Hernandez and Pugh",Gomez PLC,+1-123-019-2113x878,sarahyu@hotmail.com,LIC-100050,Yes
48636,Tammy Ramsey,Female,General Medicine,1,26,Miller Inc,"Mosley, Turner and Smith",+1-330-086-7688x54851,riddlestacey@yahoo.com,LIC-100051,Yes
24802,Robert Simpson,Female,Neurology,5,37,Jenkins LLC,Garcia Ltd,(344)591-8507x18543,smitheduardo@rodriguez-perez.biz,LIC-100052,Yes
25997,Jennifer Bryan,Female,Orthopedics,4,27,Murray-Robertson,"Jones, Cole and Hampton",(750)200-8283x540,rodriguezleslie@carpenter-anderson.com,LIC-100053,Yes
98369,Austin Hoffman,Male,Pediatrics,3,24,Torres-Young,Pineda and Sons,(771)394-2413x718,courtneyyates@hotmail.com,LIC-100054,Yes
31557,Rachel Zimmerman,Female,Neurology,5,19,"Phillips, Flores and Conner",Brown-Dawson,419-952-3976x282,haleyhorton@gmail.com,LIC-100055,Yes
46667,Crystal Chapman,Male,Orthopedics,4,24,"Garcia, Garcia and Lucas","Carroll, Crawford and Crawford",(225)626-7961x12309,jameshampton@white.com,LIC-100056,Yes
65549,Kendra Miller,Male,Neurology,5,26,Dixon and Sons,"Russell, Strong and Parsons",+1-953-384-1020x744,pthomas@maxwell.com,LIC-100057,Yes
17447,Anthony Mason,Male,General Medicine,1,2,"Meyers, Boyer and Nguyen",Pollard-Jones,(902)530-7359x5537,shawncastaneda@hotmail.com,LIC-100058,Yes
85828,Lisa Franklin,Male,Pediatrics,3,13,Wilkerson PLC,Johnson-Johnson,+1-250-932-1704,ashley90@daniels.net,LIC-100059,Yes
49676,Ronald Simmons,Male,Cardiology,2,9,Munoz PLC,"Powers, Phillips and Franklin",(931)539-6131x6643,robert91@marsh.com,LIC-100060,Yes
70603,Rachel Snyder DDS,Male,General Medicine,1,18,Lutz LLC,Foley Ltd,+1-168-839-2461x08175,ugeorge@charles-romero.com,LIC-100061,Yes
20189,Danielle Patton,Female,Cardiology,2,23,Jones-Torres,Meyer Inc,641-990-5559x25502,woodardpamela@hotmail.com,LIC-100062,Yes
73147,Joshua Burnett,Male,Cardiology,2,31,"Petty, Delgado and Wiley",Kane Ltd,7673885901,romerokyle@mcclure-bates.com,LIC-100063,Yes
69551,James Elliott,Male,Orthopedics,4,33,"Wilson, Jackson and Valencia",Crawford-Alvarez,(627)940-5302x9962,alison46@moon.com,LIC-100064,Yes
3302,Erin Thompson,Male,Pediatrics,3,12,"Ramos, Wilson and Brooks",Davis Group,852.641.2618,calvinthornton@yahoo.com,LIC-100065,Yes
63272,Jennifer Boyer,Male,Neurology,5,28,Wood-Wang,Brown-Rivera,(854)821-0314x77963,sandra22@gmail.com,LIC-100066,Yes
52257,Patricia Smith,Female,Pediatrics,3,13,Rivera-Ellis,Wheeler-Olson,521.591.8993x59241,thomasmoreno@hotmail.com,LIC-100067,Yes
72003,Johnny Jones,Male,Pediatrics,3,37,Hicks-Chambers,Combs-Davis,+1-210-311-6798x2902,karen35@smith.org,LIC-100068,Yes
87187,Alexis Underwood,Female,Neurology,5,30,"Vazquez, Lopez and Clark","Ford, Griffin and Myers",360-194-2162x1616,kimberlymcdonald@allen-gonzales.com,LIC-100069,Yes
57806,Adam Foster,Female,Neurology,5,21,Alvarez Group,Berry LLC,719-720-4975x24402,wrightwilliam@hotmail.com,LIC-100070,Yes
82628,Cassandra Cooke,Male,Neurology,5,14,Nguyen-Johnson,"Morgan, Smith and Mata",+1-110-102-6498x407,lambkevin@gmail.com,LIC-100071,Yes
89982,Sara Webb,Male,Neurology,5,15,"Henson, Oliver and Luna",Ibarra and Sons,562.132.8044x558,zscott@yahoo.com,LIC-100072,Yes
10482,Elizabeth Garrison,Female,General Medicine,1,27,Kim LLC,Jones Inc,957-711-8674x297,carpenterbenjamin@king.com,LIC-100073,Yes
69211,Randy Morgan,Female,General Medicine,1,17,"Johnson, Martinez and Rivera","Raymond, Osborne and Stewart",121-586-0333x96724,taylorrocha@middleton-chen.com,LIC-100074,Yes
75699,Ann Simmons,Female,General Medicine,1,36,Hall and Sons,"Baldwin, Webster and Simpson",+1-342-482-0797x5006,randerson@green.com,LIC-100075,Yes
43549,Lisa Boyle,Female,Cardiology,2,20,"Scott, Allen and Vasquez","Thompson, Ray and Jones",+1-534-992-1047x4700,davidkemp@yahoo.com,LIC-100076,Yes
88128,David Scott,Male,Cardiology,2,29,Tran-Lane,Robinson-Howard,459-859-3572,dunlapjohn@gmail.com,LIC-100077,Yes
88588,Gerald Aguilar,Male,Pediatrics,3,32,Espinoza-Edwards,Levine-Matthews,196.939.3855,coopermichael@jones.com,LIC-100078,Yes
22337,Matthew Thomas,Male,Cardiology,2,11,Hahn Ltd,Myers-Daniels,001-157-132-6562,rodriguezjohn@yahoo.com,LIC-100079,Yes
89783,Kayla Ross,Female,General Medicine,1,35,"Stanley, Smith and Brooks","Mason, Odonnell and Jones",(394)124-7888,dperry@yahoo.com,LIC-100080,Yes
99555,Cole Morgan,Female,Pediatrics,3,36,"Benson, Lopez and Vance",Smith PLC,725.700.0181x4774,patrick47@taylor.org,LIC-100081,Yes
92962,Katrina Alexander MD,Male,General Medicine,1,20,Thompson-Murphy,"Coleman, Romero and Bryant",720.169.5760,qmatthews@smith.info,LIC-100082,Yes
47563,Darryl Daniels,Male,Cardiology,2,39,Charles-Robinson,Rojas-Lee,459-043-9064x7149,hernandezmelissa@powers-brewer.info,LIC-100083,Yes
35759,Kimberly Morales,Male,Neurology,5,36,Anderson-Smith,Townsend-Ellis,064.667.8646x391,pattersondavid@armstrong.com,LIC-100084,Yes
6561,Sandra Thomas,Male,General Medicine,1,8,Kennedy LLC,Taylor-Leonard,+1-468-175-1622x927,dan98@ryan.info,LIC-100085,Yes
98317,Michael Holland,Female,Orthopedics,4,12,"Cooper, Moss and Smith","Buchanan, Wood and Maldonado",778.976.0007,zmiller@yahoo.com,LIC-100086,Yes
98555,Rebecca Smith,Female,Orthopedics,4,3,Lin-Marquez,Morris-Mitchell,096.112.8956,kgibson@yahoo.com,LIC-100087,Yes
84109,Megan Ross,Female,Cardiology,2,19,Ortega-Newman,Cox-Bush,+1-731-761-5992x756,guzmanlisa@marshall-scott.com,LIC-100088,Yes
77,Michael Cardenas,Male,Pediatrics,3,16,Oconnell-Stanley,Green-Henderson,7937050051,estesmegan@knight-harper.com,LIC-100089,Yes
56572,David Stevens,Male,Pediatrics,3,15,Frost-Morrison,"Hurst, Gonzales and Cobb",+1-877-021-7132x708,warrenmary@gmail.com,LIC-100090,Yes
90738,Noah Ramirez,Female,Neurology,5,33,Taylor and Sons,Miller-Wall,001-744-316-8940,rickdorsey@gmail.com,LIC-100091,Yes
72608,Robert Huff,Female,Orthopedics,4,10,Martin-Juarez,Cantrell LLC,(229)906-0006,qpeterson@hotmail.com,LIC-100092,Yes
4553,Jennifer Smith,Male,Pediatrics,3,24,"Wood, Frank and Owens",Bowen Group,(496)231-7845,jessicafox@gmail.com,LIC-100093,Yes
50599,Gabrielle Pena,Female,General Medicine,1,13,"Smith, Douglas and Hernandez","Garcia, Dougherty and Mcclain",693.077.2786x2487,dparsons@hotmail.com,LIC-100094,Yes
46938,Alexander Travis,Male,Orthopedics,4,26,Wise-Bowman,Rogers PLC,+1-781-623-7869x0275,nathaniel31@cooper-miller.info,LIC-100095,Yes
91213,Brittany Hall,Male,Pediatrics,3,7,Martinez-Stevens,"Howard, Montoya and Adams",843.668.5745,nicholaspena@gmail.com,LIC-100096,Yes
88122,Michelle Anderson PhD,Male,General Medicine,1,25,White PLC,"Ryan, Jackson and Snyder",+1-365-315-8865x489,allison02@taylor.com,LIC-100097,Yes
53064,Rickey Brown,Male,Orthopedics,4,37,"Garcia, Armstrong and Harper",Odom Inc,101.669.9381x8810,hartmanscott@elliott.biz,LIC-100098,Yes
16986,Diane Bird,Male,Cardiology,2,5,Ward PLC,Harris-Torres,001-139-522-7251x760,manuelsmith@hotmail.com,LIC-100099,Yes
71551,James Petty,Male,Cardiology,2,36,Thompson Ltd,"Blair, Cabrera and Watson",546.499.4863,megan66@martinez.biz,LIC-100100,Yes
94664,Marcus Hudson,Female,Pediatrics,3,24,"Stewart, Rogers and Holmes",Garcia Group,508-936-7958x36774,brian61@rice.com,LIC-100101,Yes
93034,Ryan Mccall,Male,Cardiology,2,11,Smith LLC,"Patel, Williams and Harris",(425)617-5358,tiffany00@gmail.com,LIC-100102,Yes
34337,Stephanie Tapia,Male,Cardiology,2,28,Scott PLC,Martin LLC,+1-852-333-0302x583,xgarcia@campbell.info,LIC-100103,Yes
36366,Brian Baker,Female,Orthopedics,4,30,Vazquez Ltd,Hernandez Inc,200.224.0897x475,gloverdawn@yates.info,LIC-100104,Yes
64827,Chase Williams,Male,Pediatrics,3,5,Pugh-Gray,Foster-Smith,930-688-3424x722,foxjames@mckenzie.info,LIC-100105,Yes
94562,Nathan Henry,Male,Neurology,5,30,Torres Inc,Smith-Tran,+1-475-154-0603,robertpatrick@hotmail.com,LIC-100106,Yes
56085,Jessica David,Female,Orthopedics,4,32,"Wyatt, Sanchez and Mann",Berg-Richardson,237-538-3237,sarahweiss@houston.com,LIC-100107,Yes
11943,Raymond Cook,Male,Neurology,5,20,Smith-Hensley,Kennedy-Newman,+1-911-192-0966x372,nphillips@yahoo.com,LIC-100108,Yes
8747,Debra Gordon,Male,General Medicine,1,23,Anderson PLC,Smith-Wood,001-957-863-5627x116,fwashington@charles.info,LIC-100109,Yes
53949,Bryan Robinson,Male,Pediatrics,3,19,Lopez-Thompson,Jones Inc,(219)151-0223x854,courtneyedwards@carson-nolan.com,LIC-100110,Yes
70040,Joseph Manning,Male,Cardiology,2,33,Hanson LLC,"Howe, Simmons and Scott",+1-750-801-3096,margaretroy@savage.net,LIC-100111,Yes
83670,Mr. Travis Anderson,Female,Orthopedics,4,30,Hubbard-Cummings,Harris Group,(919)733-0769x17246,bryantpamela@yahoo.com,LIC-100112,Yes
